PRODUCTION,Units,Resource COG,Comments
Production,tonnes,"5,000,000",Resources
Cu,%,1,
Au,g/t,0.5,
Metallurgical Recovery,,,
Cu,%,87%,Studies
Au,%,90%,
Metal Production,,,
Cu,000 lbs,"95,901",
Au,oz,"49,604",
Concentrate,dry tonnes,"174,000",
Cu,%,25,Studies
Au,g/t,8.87,
Payable Metal,,,Payable %
Cu,000 lbs,"86,311",90%
Au,oz,"49,108",99%
REVENUE,,,
Metal Price - Cu,US$/lb,3.25,
Metal Price - Au,US$/oz,1500.00,
Revenue - Cu,US$ '000,"280,510",
Revenue - Au,US$ '000,"73,662",
Gross Revenue,US$ '000,"354,172",
SMELTER CHARGES,,,
Treatment Charges,US$ '000,"1,566",US$09.00 / dmt conc
Refining Charges - Cu,US$ '000,"7,768",US$0.09 / lb Cu
Refining Charges - Au,US$ '000,246,US$5.00 / oz Au
Net Revenue,US$ '000,"344,593",
Revenue by Metal,,,
Cu,%,81%,
Au,%,21%,
Revenue by Metal unit,,,
Cu,US$ per %,55.79,
Au,US$ per g,29.37,
