XPT,YPT,ZPT,AU_G_T,use,DIST_C
25.0,1.5,1.5,2.37839174,0,97.678
25.0,4.5,1.5,2.02570653,0,96.343
25.0,7.5,1.5,2.38477182,0,93.594
25.0,10.5,1.5,2.12982631,0,90.861
25.0,13.5,1.5,2.15458012,0,88.145
25.0,16.5,1.5,0.74066234,0,85.448
25.0,19.5,1.5,0.62606013,0,82.773
25.0,22.5,1.5,0.77525258,0,80.12
25.0,25.5,1.5,0.39896357,0,77.493
25.0,28.5,1.5,0.3999927,0,74.893
25.0,31.5,1.5,0.03611703,0,72.325
25.0,34.5,1.5,0.40969518,0,69.791
25.0,37.5,1.5,0.85572374,0,67.295
25.0,40.5,1.5,0.8730579,0,64.842
25.0,43.5,1.5,0.40955746,0,62.437
25.0,46.5,1.5,1.56973135,0,60.086
25.0,49.5,1.5,0.35018671,0,57.794
25.0,52.5,1.5,0.621539,0,55.571
25.0,55.5,1.5,1.56718934,0,53.423
25.0,58.5,1.5,0.86924988,0,51.36
25.0,61.5,1.5,2.32417822,0,49.394
25.0,64.5,1.5,2.37022042,0,47.536
25.0,67.5,1.5,1.29998243,0,45.799
25.0,70.5,1.5,1.50023437,0,44.197
25.0,73.5,1.5,1.24298096,0,42.747
25.0,76.5,1.5,2.0087707,0,41.463
25.0,79.5,1.5,3.07905054,0,40.362
25.0,82.5,1.5,2.54055715,0,39.458
25.0,85.5,1.5,3.18950582,0,38.766
25.0,88.5,1.5,2.95341349,0,38.298
25.0,91.5,1.5,2.17287064,0,38.061
25.0,94.5,1.5,1.93959475,0,38.059
25.0,97.5,1.5,0.40893707,0,38.293
25.0,100.5,1.5,0.50970566,0,38.759
25.0,103.5,1.5,1.50226021,0,39.448
25.0,106.5,1.5,1.85050642,0,40.349
25.0,109.5,1.5,0.74351853,0,41.448
25.0,112.5,1.5,2.05816889,0,42.665
25.0,115.5,1.5,1.42104459,0,41.002
25.0,118.5,1.5,1.525473,0,39.498
25.0,121.5,1.5,2.00436711,0,38.171
25.0,124.5,1.5,0.40817958,0,37.04
25.0,127.5,1.5,2.12620616,0,36.123
25.0,130.5,1.5,2.66187644,0,35.437
25.0,133.5,1.5,2.93164301,0,34.996
25.0,136.5,1.5,2.68872261,0,34.809
25.0,139.5,1.5,2.8955934,0,34.879
25.0,142.5,1.5,1.27131391,0,35.207
25.0,145.5,1.5,2.0364871,0,35.783
25.0,148.5,1.5,1.81644678,0,36.597
25.0,151.5,1.5,2.53784847,0,37.633
25.0,154.5,1.5,2.35013533,0,38.874
25.0,157.5,1.5,2.4135077,0,40.3
25.0,160.5,1.5,2.31652713,0,41.893
25.0,163.5,1.5,2.49384475,0,43.634
25.0,166.5,1.5,2.38816023,0,45.507
25.0,169.5,1.5,2.05213976,0,47.495
25.0,172.5,1.5,1.67707348,0,49.586
25.0,175.5,1.5,1.96389437,0,51.765
25.0,178.5,1.5,0.9422859,0,54.024
25.0,181.5,1.5,1.45178878,0,56.352
25.0,184.5,1.5,0.35576054,0,58.74
25.0,187.5,1.5,1.02282286,0,61.183
25.0,190.5,1.5,1.3062613,0,63.673
25.0,193.5,1.5,1.57578087,0,66.206
25.0,196.5,1.5,0.80882245,0,66.264
25.0,199.5,1.5,2.15160728,0,63.651
25.0,202.5,1.5,2.30918336,0,61.074
25.0,205.5,1.5,1.2435261,0,58.537
25.0,208.5,1.5,2.57741284,0,56.046
25.0,211.5,1.5,2.69110656,0,53.608
25.0,214.5,1.5,1.72173822,0,51.229
25.0,217.5,1.5,1.99898469,0,48.918
25.0,220.5,1.5,2.88206363,0,46.685
25.0,223.5,1.5,2.74919534,0,44.543
25.0,226.5,1.5,2.70750141,0,42.505
